aX,aY,aZ,gX,gY,gZ
1.355,1.714,4.000,-21.301,95.825,17.761
1.174,1.629,4.000,-19.043,139.465,4.761
0.960,1.546,3.548,-19.287,172.119,-6.897
0.761,1.470,2.710,-19.958,195.068,-17.517
0.578,1.412,2.014,-21.851,208.740,-28.381
0.433,1.399,1.504,-22.400,216.553,-38.879
0.258,1.427,1.009,-20.325,228.821,-49.011
0.118,1.410,0.721,-18.677,222.229,-60.730
-0.034,1.275,0.555,-16.541,204.529,-73.181
-0.189,1.018,0.423,-14.099,200.378,-84.412
-0.339,0.752,0.244,-11.963,196.289,-92.773
-0.469,0.509,0.059,-11.292,191.956,-97.961
-0.578,0.314,-0.181,-14.587,187.073,-101.074
-0.677,0.117,-0.415,-19.714,181.213,-102.722
-0.740,-0.099,-0.643,-26.672,171.936,-103.699
-0.773,-0.365,-0.870,-34.180,162.842,-103.516
-0.788,-0.606,-1.115,-38.452,151.855,-100.586
-0.791,-0.788,-1.350,-41.138,139.893,-94.788
-0.792,-0.948,-1.586,-41.565,124.573,-86.548
-0.742,-0.767,-1.463,-49.377,103.333,-77.209
-0.764,-1.139,-1.713,-57.312,83.618,-72.388
-0.735,-1.157,-2.002,-39.917,72.083,-58.533
-0.764,-1.013,-2.209,-39.734,54.016,-44.189
-0.626,-0.905,-1.936,-60.486,22.522,-35.583
-0.600,-1.016,-2.184,-66.040,3.296,-30.212
-0.508,-0.890,-2.126,-63.965,-20.081,-18.921
-0.413,-0.536,-1.889,-63.782,-45.715,-10.437
-0.263,-0.157,-1.635,-58.411,-69.702,-5.615
-0.092,0.094,-1.429,-50.354,-88.562,-6.287
0.069,0.257,-1.155,-39.368,-108.948,-10.681
0.220,0.217,-0.827,-26.245,-127.808,-17.456
0.352,-0.099,-0.521,-18.616,-142.517,-24.170
0.469,-0.481,-0.049,-13.489,-158.997,-27.283
0.558,-0.676,0.557,-11.292,-178.711,-24.597
0.670,-0.624,1.596,-9.155,-206.421,-16.296
0.726,-0.433,2.414,-9.216,-192.322,-7.202
0.800,-0.252,3.267,-11.414,-172.668,-2.136
0.883,-0.064,3.848,-12.695,-150.452,1.343
0.978,0.159,3.957,-15.808,-96.619,2.563
1.050,0.344,3.605,-16.174,-58.655,2.441
1.105,0.366,2.979,-18.433,-23.132,-0.366
1.138,0.273,2.270,-21.423,4.089,-3.906
1.156,0.181,1.593,-22.766,23.437,-6.836
1.165,0.080,0.966,-22.888,39.978,-9.216
1.172,-0.003,0.209,-22.461,51.086,-9.766
1.225,-0.080,-0.224,-19.287,28.259,-9.399
1.242,-0.064,-0.505,-18.677,17.639,-8.118
1.216,0.068,-0.435,-14.832,-6.470,-7.080
1.158,0.221,-0.099,-10.986,-25.330,-7.446
1.086,0.349,0.316,-8.240,-39.185,-9.460
1.020,0.418,0.692,-5.615,-46.143,-13.184
0.965,0.395,0.954,-3.845,-46.631,-17.883
0.926,0.296,1.064,-2.319,-42.969,-22.522
0.900,0.163,1.089,-1.465,-38.086,-25.574
0.872,0.032,1.040,-0.732,-33.142,-26.794
0.858,-0.069,0.951,0.183,-28.442,-26.428
0.835,-0.153,0.840,1.099,-25.146,-25.024
0.812,-0.237,0.728,2.502,-23.376,-22.400
0.791,-0.291,0.670,3.357,-23.376,-18.860
0.770,-0.280,0.678,1.953,-24.475,-14.709
0.756,-0.234,0.750,-0.732,-25.146,-10.437
0.749,-0.206,0.884,-2.502,-25.391,-7.141
0.734,-0.219,0.965,-1.892,-23.621,-4.456
0.733,-0.254,0.969,0.000,-20.020,-1.526
1.330,0.273,2.158,28.625,-55.847,8.545
1.388,0.213,3.002,16.602,-57.556,10.254
1.421,0.228,3.752,1.648,-36.987,13.672
1.405,0.365,4.000,-12.939,2.869,17.517
1.381,0.568,4.000,-22.888,39.246,21.118
1.291,0.803,3.963,-27.161,75.439,22.156
1.175,1.038,3.582,-26.184,107.666,21.179
1.038,1.196,3.090,-25.085,135.254,17.578
0.888,1.261,2.593,-27.344,156.738,9.705
0.721,1.260,2.104,-31.311,173.401,0.305
0.557,1.259,1.703,-34.973,184.875,-8.484
0.358,1.274,1.374,-38.696,193.726,-17.944
0.145,1.160,0.964,-40.710,205.994,-29.175
-0.034,1.040,0.606,-43.213,204.163,-39.734
-0.230,0.913,0.234,-46.326,196.594,-49.133
-0.419,0.807,-0.198,-49.622,195.007,-56.946
-0.578,0.598,-0.569,-51.270,184.082,-65.308
-0.718,0.325,-0.877,-53.101,170.532,-72.937
-0.835,-0.032,-1.081,-52.551,152.954,-78.430
-0.932,-0.540,-1.237,-53.284,135.071,-81.787
-0.996,-1.016,-1.386,-50.049,116.089,-79.407
-1.036,-1.401,-1.552,-42.847,96.985,-70.496
-1.069,-1.688,-1.757,-36.621,78.308,-56.946
