aX,aY,aZ,gX,gY,gZ
0.235,-0.385,-0.539,-8.423,24.597,-0.366
0.236,-0.187,-0.548,-8.362,17.212,3.723
0.238,-0.126,-0.541,-8.545,9.521,4.822
0.249,-0.121,-0.603,-8.118,2.625,4.761
0.253,-0.185,-0.692,-6.104,-4.700,4.456
0.245,-0.375,-0.678,-2.747,-15.259,4.028
0.206,-0.601,-0.612,2.136,-26.184,5.554
0.174,-0.871,-0.422,5.676,-37.842,8.972
0.135,-1.171,-0.247,7.202,-46.875,14.465
0.098,-1.418,-0.130,10.986,-53.833,24.292
0.081,-1.571,0.039,17.334,-60.669,37.476
0.051,-1.586,0.186,26.489,-66.162,53.345
0.030,-1.594,0.279,34.180,-69.580,69.214
0.033,-1.552,0.359,40.466,-72.937,84.106
0.039,-1.439,0.468,46.265,-76.172,98.633
0.076,-1.330,0.601,50.354,-78.857,112.122
0.125,-1.272,0.783,54.504,-80.688,123.596
0.167,-1.170,0.987,58.655,-80.750,135.559
0.250,-1.018,1.169,61.646,-77.759,148.193
0.332,-0.759,1.369,62.622,-72.510,160.950
0.418,-0.319,1.482,58.594,-63.843,173.218
0.535,0.269,1.559,51.514,-52.795,183.411
0.682,0.957,1.560,43.457,-40.466,187.866
0.827,1.646,1.502,34.790,-26.367,184.631
0.990,2.169,1.355,25.269,-12.573,172.974
1.122,2.498,1.069,21.362,-0.061,154.236
1.241,2.568,0.756,17.151,9.277,131.653
1.322,2.473,0.414,8.972,13.794,107.361
1.361,2.293,0.081,10.437,13.977,86.243
1.379,2.026,-0.121,14.771,8.423,67.444
1.370,1.767,-0.226,20.752,0.244,51.819
1.337,1.621,-0.274,27.405,-7.568,40.466
1.296,1.555,-0.244,32.104,-16.113,31.555
1.253,1.527,-0.144,34.546,-24.231,23.193
1.208,1.510,-0.015,33.813,-30.151,15.137
1.166,1.566,0.071,29.663,-33.325,7.324
1.114,1.643,0.170,23.437,-34.912,-1.099
1.059,1.668,0.298,16.479,-35.828,-9.949
1.003,1.689,0.395,9.460,-35.034,-20.020
0.956,1.708,0.506,3.296,-32.898,-30.273
0.912,1.661,0.629,-2.991,-30.273,-40.955
0.875,1.531,0.701,-10.437,-25.085,-51.453
0.857,1.446,0.673,-18.677,-18.433,-59.570
0.845,1.438,0.611,-28.931,-11.780,-66.162
0.836,1.491,0.521,-41.504,-6.775,-72.144
0.828,1.629,0.396,-54.504,-2.869,-77.942
0.810,1.863,0.326,-68.359,-0.305,-84.961
0.767,2.239,0.357,-80.383,-0.122,-93.750
0.705,2.628,0.376,-89.722,0.000,-106.079
0.607,2.905,0.214,-95.093,2.380,-124.268
