aX,aY,aZ,gX,gY,gZ
0.264,0.589,0.017,-23.865,67.932,-72.876
0.254,0.532,-0.047,-24.658,63.660,-74.341
0.246,0.448,-0.091,-24.414,58.472,-75.378
0.243,0.369,-0.135,-24.841,52.734,-75.684
0.242,0.313,-0.170,-25.269,46.997,-75.378
0.233,0.267,-0.186,-26.245,40.710,-74.463
0.237,0.235,-0.212,-25.696,34.485,-73.120
0.234,0.213,-0.234,-24.231,28.198,-71.716
0.229,0.184,-0.256,-23.682,22.095,-70.862
0.226,0.146,-0.269,-23.987,15.564,-69.580
0.221,0.084,-0.265,-24.231,9.094,-68.054
0.216,0.017,-0.229,-24.414,2.686,-66.223
0.212,-0.027,-0.183,-24.353,-3.113,-63.965
0.213,-0.102,-0.115,-25.085,-7.874,-61.340
0.218,-0.187,-0.076,-27.405,-12.085,-58.411
0.228,-0.261,-0.058,-28.015,-15.625,-54.443
0.240,-0.290,-0.063,-28.320,-18.860,-49.622
0.254,-0.283,-0.079,-29.053,-22.278,-44.312
0.262,-0.251,-0.108,-29.236,-26.184,-39.368
0.266,-0.230,-0.144,-28.625,-30.640,-35.095
0.269,-0.215,-0.185,-27.039,-35.950,-31.372
0.270,-0.225,-0.181,-25.146,-42.236,-27.954
0.260,-0.294,-0.115,-23.682,-49.072,-24.780
0.251,-0.403,-0.022,-23.376,-55.481,-21.545
0.256,-0.495,0.072,-22.522,-60.791,-16.785
0.264,-0.562,0.166,-20.935,-65.125,-10.681
0.277,-0.609,0.240,-19.958,-68.298,-4.395
0.287,-0.638,0.304,-19.165,-70.862,2.441
0.288,-0.611,0.369,-19.043,-72.693,10.132
0.302,-0.469,0.435,-18.066,-74.097,18.372
0.318,-0.306,0.490,-16.479,-75.317,25.024
0.330,-0.182,0.563,-15.015,-76.660,29.541
0.343,-0.054,0.693,-12.817,-77.698,32.654
0.363,0.105,0.808,-8.850,-77.454,34.973
0.374,0.186,0.830,-4.883,-74.890,35.156
0.406,0.181,0.738,-2.869,-71.716,34.058
0.435,0.132,0.653,-1.831,-70.251,32.715
0.430,0.010,0.648,-3.235,-70.740,31.555
0.416,-0.126,0.688,-5.188,-71.899,31.921
0.426,-0.173,0.696,-4.517,-72.449,34.607
0.432,-0.177,0.696,-1.587,-73.486,38.513
0.456,-0.141,0.710,2.014,-75.073,42.847
0.466,-0.049,0.738,6.104,-77.026,46.997
0.491,0.106,0.808,8.911,-78.796,50.232
0.520,0.325,0.918,9.033,-80.078,52.063
0.568,0.565,1.012,9.583,-79.956,51.880
0.618,0.651,1.125,10.742,-78.186,48.523
0.632,0.706,1.175,9.033,-74.829,42.786
0.654,0.558,1.140,11.047,-70.068,36.743
0.685,0.424,1.069,14.709,-66.284,33.264
0.689,0.322,0.993,13.794,-63.354,31.189
0.713,0.343,0.958,15.137,-62.439,31.250
0.722,0.455,0.969,18.188,-62.378,31.921
0.737,0.580,0.976,21.912,-62.317,31.250
0.766,0.662,1.012,26.306,-62.561,29.114
0.778,0.691,1.088,28.809,-62.500,25.574
0.775,0.694,1.189,30.457,-61.401,21.790
0.776,0.675,1.259,31.250,-58.533,17.822
0.790,0.685,1.294,30.762,-54.565,14.160
0.796,0.653,1.275,31.067,-49.805,10.498
0.797,0.558,1.247,30.701,-44.922,6.836
0.781,0.483,1.214,28.320,-40.649,4.211
0.785,0.454,1.174,27.100,-36.682,2.502
0.773,0.467,1.135,25.269,-33.203,1.526
0.767,0.509,1.105,23.315,-30.334,0.427
0.759,0.532,1.056,22.705,-28.076,-1.221
0.750,0.505,0.985,23.193,-26.489,-3.235
0.744,0.465,0.972,24.597,-26.428,-4.700
0.733,0.425,1.006,26.001,-27.039,-5.737
0.713,0.396,1.082,28.931,-27.466,-6.409
0.688,0.364,1.168,31.189,-26.489,-6.775
0.661,0.358,1.264,28.748,-24.048,-7.080
0.646,0.407,1.331,26.428,-20.142,-7.141
0.886,0.390,1.434,47.119,-9.277,92.957
0.902,0.489,1.489,47.058,-3.540,92.590
0.914,0.572,1.479,49.255,3.235,91.431
0.927,0.616,1.411,50.720,11.169,89.478
0.938,0.677,1.336,49.988,18.005,87.219
0.946,0.766,1.294,48.340,23.315,84.595
0.948,0.854,1.251,48.096,28.137,81.543
0.953,0.895,1.214,47.363,32.593,77.209
0.951,0.884,1.169,45.959,36.926,72.388
0.944,0.856,1.114,43.884,41.016,67.932
0.942,0.868,1.062,41.077,44.861,64.148
0.939,0.904,1.020,37.170,48.279,60.425
0.935,0.953,0.983,32.166,51.331,56.213
0.932,0.974,0.914,29.053,54.688,51.147
0.926,0.929,0.837,25.085,57.617,45.715
0.921,0.884,0.772,22.949,59.387,41.016
0.910,0.860,0.714,23.743,59.875,37.292
0.895,0.837,0.697,24.170,59.509,33.813
0.875,0.843,0.747,24.109,58.594,30.701
0.857,0.844,0.834,23.804,58.838,27.405
0.827,0.794,0.877,21.729,60.608,23.865
0.811,0.741,0.864,20.935,63.477,20.874
0.793,0.707,0.847,19.104,66.223,18.738
0.778,0.701,0.825,16.113,68.909,16.846
0.759,0.693,0.763,12.390,71.716,14.954
0.751,0.669,0.716,8.423,74.036,12.939
0.738,0.674,0.672,4.700,75.500,11.108
0.734,0.703,0.622,0.916,76.721,9.460
0.725,0.704,0.576,-3.662,77.393,7.263
0.711,0.720,0.529,-7.690,77.881,4.883
0.708,0.735,0.461,-9.583,78.003,2.625
0.701,0.725,0.417,-11.475,76.721,0.061
0.689,0.716,0.376,-11.780,74.768,-2.319
0.683,0.698,0.349,-13.000,73.059,-4.211
0.672,0.700,0.318,-14.709,71.167,-6.042
0.658,0.733,0.346,-16.235,68.787,-8.118
0.650,0.746,0.352,-17.578,67.078,-10.681
0.636,0.702,0.325,-20.020,66.162,-14.038
0.636,0.671,0.273,-19.653,64.941,-16.907
0.632,0.629,0.213,-19.226,63.171,-19.348
0.629,0.594,0.158,-19.104,60.608,-21.606
0.635,0.588,0.117,-17.883,57.190,-23.193
0.632,0.556,0.112,-18.127,53.223,-24.536
0.619,0.521,0.133,-19.592,49.316,-26.123
0.620,0.515,0.114,-20.630,46.265,-27.344
