aX,aY,aZ,gX,gY,gZ
1.093,-0.134,2.217,-50.903,-32.837,0.916
1.190,-0.195,1.490,-44.250,-15.381,0.916
1.238,-0.205,0.932,-36.987,-6.836,0.977
1.258,-0.132,0.550,-31.982,-7.080,1.953
1.263,0.085,0.460,-26.489,-26.855,2.625
1.220,0.338,0.670,-22.827,-36.987,0.610
1.162,0.509,0.952,-17.700,-44.678,-4.272
1.107,0.601,1.212,-10.681,-46.265,-11.108
1.044,0.562,1.431,-2.930,-43.579,-19.897
0.986,0.383,1.552,5.249,-37.415,-28.564
0.929,0.060,1.597,13.000,-29.785,-35.278
0.878,-0.306,1.533,18.433,-20.508,-38.635
0.843,-0.599,1.386,21.057,-10.925,-37.354
0.820,-0.761,1.235,21.057,-4.150,-31.677
0.794,-0.787,1.079,18.799,1.465,-23.254
1.172,-0.572,1.636,-2.747,-65.674,21.484
1.262,-0.742,2.191,-3.967,-65.369,26.855
1.287,-0.810,2.802,-2.563,-60.974,35.400
1.295,-0.767,3.458,-1.526,-56.213,46.204
1.246,-0.674,3.991,-1.221,-34.973,57.678
1.233,-0.544,4.000,-3.784,5.432,68.237
1.147,-0.355,4.000,-7.141,37.292,77.393
1.050,-0.136,4.000,-11.108,74.524,84.534
0.938,0.080,3.932,-14.099,110.779,89.661
0.825,0.289,3.406,-18.921,143.311,93.506
0.707,0.459,2.846,-26.611,169.922,94.604
0.590,0.657,2.276,-33.630,191.223,93.872
0.497,0.913,1.726,-36.743,206.970,91.736
0.432,1.187,1.268,-36.438,217.102,86.975
0.373,1.444,0.729,-33.691,228.027,78.613
0.361,1.593,0.434,-33.386,217.590,65.613
0.346,1.709,0.073,-32.532,209.778,51.636
0.332,1.740,-0.066,-31.494,198.425,35.889
0.297,1.732,-0.160,-31.982,184.570,19.531
0.259,1.688,-0.176,-32.471,172.424,3.418
0.205,1.627,-0.162,-32.898,160.583,-11.292
0.153,1.551,-0.151,-32.043,150.574,-25.635
0.092,1.465,-0.131,-30.273,141.357,-39.368
0.022,1.360,-0.107,-29.175,132.874,-52.185
-0.038,1.228,-0.089,-28.076,124.878,-63.660
-0.109,1.061,-0.102,-26.794,119.019,-74.341
-0.171,0.835,-0.132,-23.987,112.732,-83.618
-0.228,0.580,-0.215,-20.630,106.873,-90.637
-0.263,0.283,-0.287,-16.418,100.464,-94.604
-0.289,0.022,-0.325,-14.465,93.384,-95.215
-0.302,-0.122,-0.321,-13.489,85.205,-92.102
-0.313,-0.208,-0.284,-15.991,77.881,-87.219
-0.324,-0.242,-0.296,-21.301,73.059,-81.787
