aX,aY,aZ,gX,gY,gZ
-1.836,-4.000,-1.964,-4.517,-79.346,156.799
-2.301,-4.000,-1.484,7.446,-117.615,253.845
-2.836,-4.000,-0.765,5.127,-149.414,334.534
-3.137,-3.128,-0.011,-1.953,-172.363,393.677
-3.207,-1.553,0.629,25.940,-188.293,439.026
-3.189,0.261,0.992,106.262,-204.895,471.008
-3.060,1.613,1.933,68.298,-230.774,464.783
-2.829,2.948,2.665,33.325,-224.792,458.618
-2.321,3.784,3.486,11.963,-216.187,452.759
-1.843,4.000,4.000,13.489,-189.636,437.439
-1.343,4.000,4.000,16.235,-137.878,383.789
-0.931,4.000,4.000,4.517,-103.088,304.810
-0.570,4.000,4.000,5.310,-68.115,260.742
-0.248,4.000,3.723,-4.089,-32.593,219.910
-0.021,4.000,3.029,-14.221,2.075,173.706
0.157,3.998,2.357,-16.724,25.085,132.629
0.284,3.752,1.759,-12.329,40.161,101.074
0.365,3.472,1.267,-2.563,50.659,72.510
0.413,3.239,0.796,5.920,54.688,47.485
0.443,2.989,0.577,16.052,39.001,26.123
0.427,2.651,0.401,25.818,28.015,5.493
0.380,2.251,0.440,35.156,15.625,-11.475
0.318,1.819,0.603,43.884,3.052,-24.353
0.243,1.440,0.831,46.692,-4.028,-33.081
0.181,1.158,1.043,44.922,-5.981,-37.781
0.123,0.871,1.213,37.903,-5.493,-40.649
0.085,0.684,1.303,29.602,-1.648,-40.955
0.059,0.626,1.297,26.794,4.517,-37.842
0.033,0.652,1.195,25.269,11.536,-34.668
0.021,0.700,1.016,24.292,17.151,-32.776
0.010,0.730,0.847,23.132,20.081,-32.654
0.011,0.821,0.727,19.836,20.325,-34.180
-0.005,0.630,0.653,15.442,19.287,-37.537
-0.064,0.548,0.640,14.893,17.822,-40.222
-0.004,0.294,0.697,10.315,14.709,-41.687
-0.102,0.029,0.682,6.470,13.855,-42.786
0.021,-0.194,0.736,0.061,13.123,-38.391
-0.021,-0.382,0.718,-3.052,12.939,-32.776
0.003,-0.412,0.683,-2.747,12.878,-21.606
0.016,-0.327,0.629,-3.967,12.512,-10.803
0.033,-0.157,0.591,-6.958,10.803,-2.258
0.040,0.087,0.584,-8.484,7.812,4.761
0.042,0.304,0.602,-8.667,4.944,9.094
0.051,0.456,0.663,-8.240,1.648,10.620
0.046,0.573,0.743,-7.385,-0.977,10.132
0.036,0.614,0.828,-6.592,-2.441,8.118
0.032,0.610,0.911,-7.202,-2.441,5.188
0.030,0.574,0.972,-7.629,-1.404,2.930
0.034,0.550,0.966,-6.287,0.977,1.160
0.044,0.519,0.910,-3.418,3.357,-0.061
0.065,0.500,0.831,-0.793,4.822,-0.854
0.073,0.506,0.760,1.343,5.188,-1.343
0.077,0.534,0.731,3.113,4.150,-1.770
0.078,0.558,0.743,4.028,2.625,-2.563
0.069,0.554,0.767,4.150,1.221,-3.845
0.063,0.530,0.780,3.662,0.732,-4.883
0.057,0.499,0.802,3.174,-0.183,-5.981
0.055,0.482,0.824,3.113,-0.488,-6.531
0.053,0.468,0.841,3.174,-0.610,-6.897
0.051,0.429,0.866,2.319,-0.488,-7.446
0.048,0.378,0.875,0.549,0.122,-7.507
0.047,0.341,0.865,-0.305,0.793,-6.714
-0.370,-1.711,-1.684,7.690,-103.149,-7.507
-0.486,-2.040,-1.853,16.479,-125.183,7.263
-0.632,-2.301,-1.747,28.687,-156.250,26.245
-0.820,-2.528,-1.365,34.729,-189.758,48.035
-0.996,-2.684,-0.932,33.875,-213.928,72.144
-1.141,-2.659,-0.605,39.124,-230.347,99.365
-1.263,-2.398,-0.277,47.058,-243.530,127.502
-1.337,-1.999,0.104,49.316,-254.456,152.466
-1.316,-1.533,0.478,52.307,-262.512,173.401
-1.263,-1.059,0.910,57.800,-273.315,190.247
-1.136,-0.676,1.410,61.218,-282.654,200.134
-0.974,-0.394,1.609,56.274,-265.320,205.200
-0.771,0.043,1.815,55.786,-255.554,210.205
-0.543,0.570,2.106,54.871,-249.817,212.158
-0.258,1.134,2.506,50.232,-242.981,209.595
0.095,1.588,2.979,43.396,-232.483,200.928
0.475,1.991,3.514,40.710,-220.764,189.209
0.825,2.441,4.000,44.556,-200.378,175.842
1.162,2.886,4.000,46.814,-162.170,160.645
1.494,3.424,4.000,43.823,-132.080,142.334
1.634,3.869,4.000,33.997,-93.933,118.713
1.685,4.000,4.000,38.452,-52.368,94.177
1.640,4.000,4.000,30.701,2.075,59.326
1.463,4.000,4.000,3.723,56.519,12.451
1.258,4.000,3.858,-12.695,106.567,-39.124
0.978,4.000,2.636,-23.193,141.724,-97.107
0.639,4.000,1.646,-25.208,156.250,-148.804
0.270,3.922,0.974,-22.400,168.701,-197.449
-0.131,2.928,0.416,-32.043,173.218,-241.638
-0.462,1.857,0.385,-48.828,140.015,-274.597
-0.730,0.823,0.370,-73.914,126.953,-293.823
-0.900,-0.007,0.422,-69.763,112.183,-296.814
